node,loss at 0V (dB/cm),VpiL at 2Vpp(Vcm),C_0V[fF/um],C_-1V[fF/um],C_-2V[fF/um],R_0V[ohm*mm],R_-1V[ohm*mm],R_-2V[ohm*mm],f_0V[GHz],f_-1V[GHz],f_-2V[GHz],OMA_500_0V [dBm],OMA_500_-1V[dBm],OMA_500_-2V[dBm],OMA_1000_0V[dBm],OMA_1000_-2V[dBm],OMA_1500_0V[dBm],OMA_1500_-2V[dBm],OMA_opt_0V[dBm],OMA_opt_-2V[dBm],Opt_length[um],OMA_500_0V [mW],OMA_500_-1V [mW],OMA_500_-2V [mW],OMA_st_500_0V [mW],OMA_st_500_-1V [mW],OMA_st_500_-2V [mW]
n69, 7.630575451571048, 0.6606727808618613,0.922000377469501,0.40158274271173,0.190104349327035,10.843870914295147,14.573316767585258,10.348850714809421,15.915114758155628,27.194856755667477,80.48488546002532,-5.5810679783644765,-4.211069661960353,-3.080983622275016,-3.4494270214549756,-0.9493426653655151,-3.184783991078262,-0.6846996349888017,-3.143962785460759,-0.6438784293712984,1238.8411980842332,0.2766261307385552,0.3792215716642938,0.49192810754593846,0.0,0.34997616768763096,0.5151131225089378
n70, 9.70694953101847, 0.5190195034831852,0.923350376565661,0.4578255866310309,0.19957542237930498,10.544967233944206,13.9215172312684,10.743976563040192,16.34444540513957,24.970865312189805,74.23567028622095,-4.625613316812197,-3.514831503027833,-2.2404252845484787,-3.0193741395911577,-0.6341861073274381,-3.926410106949763,-1.5412220746860434,-3.0272900528848106,-0.6421020206210915,986.1266932827398,0.3446979244071485,0.4451607338696296,0.5969768245353526,0.0,0.368224191507061,0.6299197185651568
n71, 11.23498441174913, 0.5273240073225722,0.9240166716283329,0.5523352553910619,0.23015465816796998,10.180556928447137,12.459644643624959,11.353548453124036,16.916725636614846,23.126600637966643,60.64258051264048,-4.641885653429593,-3.807910050724832,-2.46787734104138,-3.0564601547811128,-0.8824518423928994,-3.9193671221321797,-1.7453588097439667,-3.081575059721844,-0.9075667473336307,962.7920358611427,0.34340881162716724,0.4161108067429706,0.5665161119605078,0.0,0.3554188477449917,0.612768132097206
n72, 13.71080769459502, 0.5194346630707584,0.9243846064168709,0.6013464687289725,0.297578334352993,9.931797403710465,11.583688754941791,11.912484207815341,17.329015054353594,22.84802036191458,44.75809495954206,-4.631281395285594,-3.897011629379586,-2.7772677196383806,-3.20049356963297,-1.3464798939857558,-4.279594454577657,-2.425580778930443,-3.321735711626081,-1.4677220359788667,854.8505168240022,0.34424834455697045,0.40766069172751856,0.5275616623310759,0.0,0.3478729729879145,0.6042797397247699
n73, 15.63732752301915, 0.5233753333479109,0.924754506376655,0.6163039977351461,0.430766892200503,9.692736167865283,11.031696887537803,12.512104016712856,17.75330994994461,23.409002968585714,29.48233267670082,-4.68534885780265,-3.9647136342640494,-3.4885239116375457,-3.331731739141339,-2.134906792976234,-4.4566071407535315,-3.2597821945884276,-3.6596463041737075,-2.462821358008603,740.492646572682,0.33998919423276847,0.40135496199292037,0.44786549969028305,0.0,0.3391444578243614,0.5872070841608521
n75, 19.57113591628045, 0.5230261402189625,0.9252554313068039,0.6193767265055967,0.46765857377296594,9.478309159095334,10.584942936119848,11.697410756239698,18.14329783912181,24.275982654562895,29.079078252535403,-4.816645098170597,-4.075561059685468,-3.7073133467146073,-3.6607637148737195,-2.551431963417729,-4.986103456975453,-3.876771705519462,-5.248097061274705,-4.138765309818714,434.61506023460026,0.3298644323035394,0.3912405799738107,0.42586178031298116,0.0,0.32423496675226393,0.5616092414978685
