node,loss at 0V (dB/cm),VpiL at 2Vpp(Vcm),C_0V[fF/um],C_-1V[fF/um],C_-2V[fF/um],R_0V[ohm*mm],R_-1V[ohm*mm],R_-2V[ohm*mm],f_0V[GHz],f_-1V[GHz],f_-2V[GHz],OMA_500_0V [dBm],OMA_500_-1V[dBm],OMA_500_-2V[dBm],OMA_1000_0V[dBm],OMA_1000_-2V[dBm],OMA_1500_0V[dBm],OMA_1500_-2V[dBm],OMA_opt_0V[dBm],OMA_opt_-2V[dBm],Opt_length[um],OMA_500_0V [mW],OMA_500_-1V [mW],OMA_500_-2V [mW],OMA_st_500_0V [mW],OMA_st_500_-1V [mW],OMA_st_500_-2V [mW]
n75, 7.110375081649241, 0.6569455728075121,0.8707645048664571,0.2316223069227077,0.163092155256304,16.02115608342067,12.168039683166782,12.364956475883382,11.406310764202356,56.47018646634742,78.37090399063332,-6.672890710584202,-3.2429530877491066,-3.0647409364730587,-4.545264179687052,-0.9371144055759094,-4.294089132891898,-0.6859393587807544,-4.246223400765164,-0.6380736266540216,1236.0161348557763,0.21513492969214462,0.4739196228497292,0.4937713716144327,0.0,0.40275725338645196,0.5182855409611756
n76, 8.707384255731759, 0.5608170289486933,0.929647364363964,0.4226816999814288,0.192696726706506,11.280848383824923,14.754909516060382,11.455671017490637,15.175158344737621,25.51938629466119,71.74347584049997,-5.1188391835815095,-3.730574056935944,-2.5184711267955646,-3.302537703176309,-0.7021696463903636,-3.721700759950405,-1.1213327031644598,-3.2457351271062467,-0.6453670703203013,1066.6382527540075,0.30769191279618774,0.4235869719899999,0.5599546910477524,0.0,0.36828367976916493,0.5929777356171418
n77, 9.70694953101847, 0.5190195034831852,0.923350376565661,0.4578255866310309,0.19957542237930498,10.544967233944206,13.9215172312684,10.743976563040192,16.34444540513957,24.970865312189805,74.23567028622095,-4.625613316812197,-3.514831503027833,-2.2404252845484787,-3.0193741395911577,-0.6341861073274381,-3.926410106949763,-1.5412220746860434,-3.0272900528848106,-0.6421020206210915,986.1266932827398,0.3446979244071485,0.4451607338696296,0.5969768245353526,0.0,0.368224191507061,0.6299197185651568
n78, 10.51403763583108, 0.5764109291036881,0.870888873045559,0.5957878177907677,0.26226802094534296,9.321907387494656,11.114919741797799,10.932923167340121,19.59957522773842,24.0337905486974,55.245055241189235,-4.535333192985075,-4.030460439470806,-2.8425790260173667,-2.7261410074412247,-1.033386840473517,-3.073873467799932,-1.381119300832225,-2.6783265812133337,-0.9855724142456269,1049.2131351787932,0.35193842059032376,0.39532470547902593,0.5196872923840423,0.0,0.31679431391673935,0.5704222438147196
n79, 11.91817286541194, 0.6332865031620709,0.8237669103613,0.6161628033553461,0.423490480328859,8.59860834717162,9.842295531913893,11.190303357522815,22.461495035425195,26.243898139872126,33.52701083573633,-4.638099811426209,-4.2902864664196825,-3.848094922352359,-2.745111119464851,-1.9551062303910005,-2.7944710131687858,-2.004466124094936,-2.7002860618758033,-1.910281172801953,1032.4815020998537,0.3437082992747616,0.37236714361216106,0.4122783295891561,0.0,0.2756516385448495,0.5142781624072458
n81, 13.30539649499525, 0.7215290402186112,0.861708164892671,0.5966646534941074,0.492405391687203,8.378762750975186,9.023078944975985,10.200329566909447,22.037639442537582,29.56209129947004,31.64713280249358,-5.304903310220426,-4.680189910186936,-4.561634572261091,-3.332765698496191,-2.589496960536856,-3.100778668843745,-2.35750993088441,-3.497598244405533,-2.754329506446198,920.5310173642405,0.2947879106408419,0.3403933045085337,0.34981348148888075,0.0,0.23619775999959203,0.44579447602247724
